id,product,description
51,Дрель Impact 800W,"Бренд: ToolMaster, Цена: 3990 руб. Ударная, мощность 800 Вт, до 3000 об/мин. Для сверления бетона. Кейс и набор сверл в комплекте."
52,Лампа LED Desk Pro,"Бренд: LightHome, Цена: 2490 руб. Настольная с сенсорным управлением, 3 режима яркости и теплоты света. USB-порт для зарядки, гибкий держатель."
53,Юбка MidiClassic,"Бренд: StyleMe, Цена: 2490 руб. Твиловая, длина ниже колена, застежка сбоку, шлица сзади. Цвет: хаки."
54,Точилка для ножей,"Бренд: HomeKit, Цена: 890 руб. Ручная алмазная с 3 уровнями заточки: грубая, средняя, хондинг. Компактная на магните."
55,Гиря 16 кг,"Бренд: SportMax, Цена: 2990 руб. Чугунная, цельнолитая с неокрашенной ручкой. Для махов, рывков и жимов. Класс точности 3."
56,Адаптер USB 4 порта,"Бренд: TechPro, Цена: 590 руб. Быстрая зарядка, USB 3.0, скорость до 5 Гбит/с. Кабель 30 см, световая индикация."
57,Ланчбокс EcoBox,"Бренд: TravelGear, Цена: 690 руб. С герметичной крышкой из бамбуковых волокон. Внутри разделители, подходит для микроволновки. Объем 900 мл."
58,Подушка для шеи в авто,"Бренд: RelaxHome, Цена: 1290 руб. Из пены с эффектом памяти на молнии. Съемный хлопковый чехол, регулируемый ремешок на кресло."
59,Семена газонной травы,"Бренд: NatureHome, Цена: 390 руб. Упаковка 1 кг, теневыносливые и устойчивые к вытаптыванию. Расход 45 г/м²."
60,Батарейки AA (10 шт),,"Бренд: TechPro, Цена: 490 руб. Алкалиновые, срок хранения до 10 лет. Для пультов, мышей, часов, игрушек."
61,Коврик для мыши XXL,"Бренд: StationPlus, Цена: 1490 руб. Размер 900×400 мм, толщина 4 мм. Прошитый край, нескользящая основа из пробки, водоотталкивающий."
62,Краска акриловая 12 цветов,"Бренд: ArtWorld, Цена: 990 руб. По 20 мл. Яркие и плотные, после высыхания не смываются. Кисть в комплекте."
63,Конфеты шоколадные,"Бренд: TasteGood, Цена: 290 руб. Ассорти из молочного и темного шоколада. С начинкой из лесного ореха и карамели. Коробка 200 г."
64,Портативная колонка SoundMove,"Бренд: AudioWave, Цена: 2790 руб. Bluetooth 5.0, защита IPX7, батарея на 12 часов. Качественные басы, AUX, слот для microSD."
65,Стеклоочиститель авто,"Бренд: CleanHome, Цена: 390 руб. С силиконовой присоской для фиксации на стекле. Ледоруб и щетка с мягкой щетиной."
66,Корм для собак Premium,"Бренд: PetLife, Цена: 1990 руб. Сухой с лососем и рисом для взрослых собак. Беззерновой, 25% белка. Пачка 2 кг."
67,Расческа-щетка массажная,"Бренд: BeautyLine, Цена: 690 руб. Антистатическая с натуральной щетиной и массажными зубцами. Стимулирует рост волос."
68,Картина по номерам,"Бренд: ArtWorld, Цена: 890 руб. На холсте 40×50 см, 24 цвета акрила. Сюжет: закат над морем. Для начинающих и профи."
69,Зарядное устройство авто,"Бренд: TechPro, Цена: 990 руб. 2 порта USB-C: быстрая зарядка 20 Вт и 12 Вт. Светодиодная индикация, компактный 4×4 см."
70,Нож складной CampCut,"Бренд: TravelGear, Цена: 1490 руб. Лезвие из стали 8Cr13MoV, фиксатор. Открывается одной рукой, клипса на кармане. Вес 90 г."
71,Гантели 2×5 кг,"Бренд: SportMax, Цена: 3990 руб. С виниловым покрытием. Нескользящие ручки, подходят для дома и тренажерки."
72,Детский конструктор 100 дет.,"Бренд: KidsPlay, Цена: 1190 руб. Совместим с Lego, детали 2×4. В наборе человечек, машинка и домик. Для детей 4+."
73,Коробка для хранения 30 л,"Бренд: RelaxHome, Цена: 590 руб. Прозрачный пластик с крышкой на защелках. Размер 50×35×25 см, штабелируется."
74,Маркеры перманентные 6 шт,"Бренд: StationPlus, Цена: 390 руб. Для CD и стекла. Толщина 1 мм, не смываются водой. 6 цветов."
75,Пюре детское яблоко,"Бренд: KidsPlay, Цена: 90 руб. 90 г, без сахара, ГМО и крахмала. Из зеленых яблок, витаминизированное. Для детей 6+ мес."
76,Салфетки микрофибра 10 шт,"Бренд: CleanHome, Цена: 590 руб. Для экранов и оптики. Ворс 200 г/м², не оставляют разводов и царапин."
77,Фигурка аниме персонажа,"Бренд: CollectWorld, Цена: 2490 руб. 20 см, японское качество. Подвижная, с аксессуарами и подставкой."
78,Тент автомобильный,"Бренд: TravelGear, Цена: 2490 руб. Серебристый с UV защитой. Размер 200×150 см, на присосках и магнитных замках."
79,Флорариум малый,"Бренд: NatureHome, Цена: 1990 руб. Готовый в стеклянной банке с суккулентами и грунтом. Не требует частого полива."
80,Пазл 1000 дет.,"Бренд: ArtWorld, Цена: 990 руб. Горный пейзаж, размер 68×48 см. Картон высокой плотности, контрольный лист внутри."
81,Кружка термо-keep,"Бренд: TravelGear, Цена: 1290 руб. Нержавеющая сталь, двойные стенки. Держит тепло 6 часов, герметичная крышка слайдер. Объем 450 мл."
82,Блеск для губ сияющий,"Бренд: BeautyLine, Цена: 490 руб. Объемный с ароматом вишни. Содержит масло жожоба. Колор: прозрачный с шиммером."
83,Кабель USB-C 2 м,"Бренд: TechPro, Цена: 390 руб. Быстрая зарядка до 60 Вт, оплетка нейлоном. Скорость передачи данных до 480 Мбит/с."
84,Мышь компьютерная Basic,"Бренд: StationPlus, Цена: 590 руб. Оптическая, USB, 3 кнопки. Разрешение 1200 DPI, длина провода 1.5 м."
85,Подставка для ноутбука,"Бренд: RelaxHome, Цена: 1490 руб. Алюминиевая складная, 7 уровней наклона. Не скользит, охлаждает пассивно. До 17 дюймов."
86,Книжка-раскраска для детей,"Бренд: KidsPlay, Цена: 290 руб. 32 страницы с животными и машинками. Большие контуры, для карандашей и фломастеров. Для 3-6 лет."
87,Носки спортивные 3 пары,"Бренд: StyleMe, Цена: 690 руб. Хлопок 80%, эластан. Усиленная пятка и носок, сетка для вентиляции. Размер 39-43."
88,Набор пряностей для мяса,"Бренд: TasteGood, Цена: 390 руб. 6 видов: паприка, кумин, орегано, тимьян, чеснок, розмарин. По 15 г каждый."
89,Ваза для цветов стеклянная,"Бренд: HomeDecor, Цена: 1290 руб. Высота 25 см, прозрачная. Подходит для цветов и сухоцветов. Толстое дно."
90,Ежедневник недатированный,"Цена: 890 руб. Твердая обложка, кремовая бумага, 140 страниц. Линейка, закладка и резинка."
91,Слайм с ароматом клубники,"Бренд: KidsPlay, Цена: 390 руб. Не липнет к рукам, не пачкается. Аромат клубники, пластичная текстура, баночка 100 мл."
92,Очки для сна,"Бренд: RelaxHome, Цена: 790 руб. Шелковая повязка с мягкой подкладкой. Регулируемая застежка-липучка, полное затемнение."
93,Тостер 2 слота,"Бренд: HomeKit, Цена: 2990 руб. Регулировка степени запекания от 1 до 6. Подогрев булочек и разморозка. Съемный поддон."
94,Зубная щетка электрическая SmilePro,"Бренд: CleanHome, Цена: 2490 руб. 3 режима (чистка, отбеливание, массаж). 2 насадки с разной щетиной. Батарея на 2 недели."
95,Лежак для кошки мягкий,"Бренд: PetLife, Цена: 1490 руб. С бортиками, наполнитель холлофайбер. Съемный чехол на молнии, стирка при 30°C."
96,Ролл для сантехники 10 м,"Бренд: ToolMaster, Цена: 290 руб. Уплотнительный шириной 1.5 см. Для герметизации швов, дверей, окон."
97,Корректор жидкий,"Бренд: StationPlus, Цена: 190 руб. Быстросохнущий, не оставляет комков. Ролик 5 мм, объем 10 мл. Для ручек и гелей."
98,Детский рюкзак-кенгуру,"Бренд: KidsPlay, Цена: 1990 руб. Эргономичный переноска для детей от 0 до 3 лет (3-15 кг). Пояс для взрослых, регулировка."
99,Цветочный горшок автополив,"Бренд: NatureHome, Цена: 890 руб. Диаметр 20 см, система резервуара для воды на 1 л. Полив до 2 недель."
100,Спрей от насекомых,"Бренд: TravelGear, Цена: 490 руб. Защита от комаров и клещей до 8 часов. Содержит альфа-циперметрин, без запаха."
